"Import Gift Cards from CSV","Importeer cadeau kaarten van CSV"
"Gift Card Statistic","Cadeau kaarten Statistic"
"Generate Card Code","Generee kaart Code"
"Enter Card Code","Voer kaart code in"
"Gift Card Store","Cadeau kaart Store"
"Order N","Bestel N"
"Used Amount","gebruikte hoeveelheid"
"Balance","Saldo"
"Created At","Gemaakt op"
"Recipient","Ontvanger"
"Used","Gebruikt"
"Action","Actie"
"Import Gift Card","Importeer cadeau kaart"
"Path to file for Gift Cards","Path naar bestand van cadeau kaarten"
"Gift Card '%s' was added.","Cadeau kaart '%s' is toegevoegd."
"Gift Card '%s' was succefuly removed.","Cadeau kaart '%s' is succesvol verwijderd."
"Gift Cards Export","Cadeau kaart Export"
"Gift Cards succesfully exported","Cadeau kaarten met succes geëxporteerd"
"Import Gift Cards","Importeer cadeau kaarten"
"Gift Cards where succesfully imported","Cadeau kaarten zijn succesvol geimporteerd"
"An error occurred while importing Gift Cards.","Er is een fout opgetreden tijdens het importeren van de cadeau kaarten."
"Gift Cards List","Cadeau kaarten lijst"
"Download Gift Cards List","Download cadeau kaarten lijst"
"Credit memo's total must be positive.","Creditnota totale's moet positief zijn."
"The credit memo has been created.","De creditnota is gecreëerd."
"Cannot save the credit memo.","Kan de creditnota niet opslaan."
"Gift cards was successfully created","Cadeau kaarten zijn succesvol aangemaakt"
"Import Gift Cards from CSV","Importeer cadeau kaarten van CSV"
"Card Currency:","Kaart valuta:"
"Country:","Land:"
"State:","Provincie:"
"City:","Stad:"
"Street:","Straat:"
"ZIP:","Postcode:"
"Phone:","Telefoon:"
"Mail Delivery Date:","Aflever datum:"
"Enter your Gift Card","Voer uw cadeau kaart in"
"applied from Gift Card","toegepast vanaf cadeau kaart"
"Remaining card balance","Resterende kaar saldo"
"Remove","Verwijder"
"Used Gift Cards","Gebruikte cadeau kaarten"
"Card Code","Kaart Code"
"Card Balance","Kaart saldo"
"Select amount","Kies bedrag"
"Preview my gift card","Voorbeeld van mijn cadeau kaart"
"Purchased Gift Cards","Gekochte cadeau kaarten"
"Card","Kaart"
"Amount to use","Hoeveelheid om te gebruiken"
"My Gift Cards","Mijn cadeau kaarten"
"Check Gift Card Balance","Controleer cadeau kaart saldo"
"Enter the Gift Card code","Voer cadeau kaart code in"
"Check","Controleer"
"Redeem","Inlossen"
"Enter your Gift Card","Voer uw cadeau kaart code in"
"Please enter a valid Gift Card code.","Vul een geldig cadeau kaart code in."
"Hello","Beste"
"You have received a","U hebt ontvangen een"
"from","van"
"This card may be redeemed on","Deze kaart kan worden ingewisseld op"
"website. Happy shopping","webwinkel. Veel plezier met winkelen"
"Gift Card value","Cadeau kaart waarde"
"Gift Card claim code","Cadeau kaart claim code"
"To redeem and use you gift card","Hoe u cadeau kaart te gebruiken"
"Create an account and login into","Maak een account aan en log in"
"Redeem the card in My Gift Cards page of My Account section","Bekijk de kaart in mijn cadeau kaart(en) in mijn account sectie"
"Alternatively, you can redeem the card on My Cart page before proceeding to checkout","U kunt de kaart op Mijn winkelwagen pagina invullen bij het afrekenen"
"If you have any questions please contact us at","Hebt u vragen neem dan contact met ons op"
"Sorry but such card does not exists","Sorry maar de kaart bestaat niet"
"Maybe already activated","Waarschijnlijk is de kaart al geactiveerd"
"Or maybe it was bought not by you","Of niet door u gekocht"
